"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",789675.840538243,11492.5489981487,68.7119837962358,0
"total_living_area_Num",-248.060065397813,8.62991661924177,-28.7442018668782,2.15064147970594e-181
"assessed_land_area_Num",2.03797419509415,0.017242250958796,118.196527817877,0
